label,message
0,kesho nafanya mahafali yangu
1,Usisahau kutuma ilehela kwa namba hii  ya tigo 0715480789
0,usiku mwema rafiki yangu
1,Ile  hela nitumie kwa namba yangu mpya hii 0712 123 234 Ambwene Nyota
0,leo nimekumbuka kukutafuta
1,Ile hela tuma kwa namba hii 0712 200 300 Ally Juma
0,Repoti utatuma lini ?
1,Tuma kwa namba hii ya tigo 0712 452 24 Kassim Athuman
0,Usisahau unahitajika ofisini
1,Sasa nitumie ile hela kwa namba 0755 211 879 mimi ni Amina Hasani
0,Naomba unitumie kile kitabu cha mwalimu
1,Nimebadilisha namba tuma kwa namba hii mpya 0712 345   234
0,Leo utaenda wapi kijana
1,Nyumbani kuna dharura fanya haraka kutuma kwa namba hii 0718 299 24
0,Kuna mtu kaniazima chaji mpaka badae
1,Jana ulikosea kutuma hela fanya haraka kutuma kwa hii ya voda 065123098
0,Nitachelewa kuludi
1,Jana ulikosea kutuma hela fanya haraka kutuma kwa hii ya voda 0718200897
0,Nishikie siti ya mbele ya mwalimu
1,Tuna shida ya ada ya mdogo wako tuma kwa namba hii 0718 234 567 Haruna  Magoli
0,Usinunue maji nimeshanunua
1,Tuna shida ya muhimu sana huku nyumbani tuma kupitia namba hii 0712 353 098
0,Mwalimu anachukua mahudhurio darasani
1,Mdogo wako anahitaji hela ya matumizi shuleni tuma kwa namba hii 0712 345 876
0,Malimu ameshaingia darasani
1,Dada yako anahitaji hela kwa ajili ya mtoto wake umtumie kwa namba hii 0718 678 45
0,Nikipanda gari za kimara nishuke wapi
1,Mama yako anahitaji hela tuma kwa namba hii 075532124 Charles Nzota
0,uko wapi kijana ?
1,Kuna hela inahitajika nyumbani kwa ajili ya ujenzi tuma kwa namba hii 0767200231
0,Nimeshakutumia ratiba utanamia kama hujaiona 
1,Usisahau kutuma nyumbani hela ya ujenzi kwa namba hii 0712 345 234
0,Njoo kwenye vimbweta si tulikubaliana 
1,Ile hela ya mchango wa harusi tuma kwa namba hii ya kiongozi 078612312
0,Tafadhari nipigie
1,Mdogo wako anahitaji hela ya matumizi chuoni  tuma kwa namba hii 0712 345 200
0,Samahani nani wewe
0,Usisahau kutuma hela kwa namba hii 072 345 786 usajili ni Jacob Nziku
0,Kwani amekwambia ni kiasi gani?
1,Nimeishiwa hela kabisa ya matumizi nitumie kwa namba hii 0718  200 24
0,Mambo vip kijana
1,Simu yangu imepotea ile hela tuma kwa namba yangu mpya 067 299 212 ALLY ALLY
0,We si uko na mafundi shida nini mzee
1,Dada yako anahitaji hela kwa ajili ya safari mtumie yake   hii 0718 000 678
0,Angalia majina ya wenzako kwenye group
1,Kuna dharura huku nyumbani fanya haraka utume kwa namba hii 078 234 098
0,Ila swali lazima lina majibu maana jamaa ametupa hadi kitabu chake
1,Ile hela usisahau kutuma kwa namba hii namba ya usajili ni 0721 234 345
0,Mie simesahau kubeba chaji yako
1,Mdogo wako anahitaji hela ya tutition tuma kwa namba hii 067 789 234
0,Bado swali lenyewe sina nawasubili wadau wafike
1,Hela inahitajika nyumbani kuna mgonjwa 
0,Umeanza kufanya kazi ya mwalimu
1,Tumia hii namba kutuma hiyo pesa 0782 2334 098 usajili IBRAHIM SEIF
0,Basi mimi nitaondoka muda si mrefu
1,Ile hela itume kwa namba hii 0756 200 345 simu yangu inasumbua haiwaki
0,Ninyi kama mnabaki mimi natangulia 
1,Ile hela itume kwa namba hii 0756 987 345 jina litakuja DEBORA ELIA
0,Leo naondoka mapema
1,Makosa jana ya kutuma hela kwa mpesa  tuma kwa namba hii 0789 234 098
0,Tangulia mzee nitakukuta pale kituoni
1,Niliibiwa simu nimesajili laini mpya ile hela nitumie kwa namba hii 078 234 123
0,Fanya maamuzi mapema maana leo tunawahi kuondoka 
1,Namba yangu mupya ya simu nitumie ile hela kwa namba hii 078 123 567
0,Mijengo nitaunga cha usiku 
